时间步长,经度,纬度,降水量
1,112.88172200524143,24.839624025162912,568
1,112.89005533857477,24.839624025162912,597
1,112.88172200524143,24.83129069182958,584
1,112.89005533857477,24.83129069182958,599
1,112.89838867190811,24.83129069182958,628
1,112.90672200524145,24.83129069182958,643
1,112.91505533857479,24.83129069182958,643
1,112.88172200524143,24.822957358496247,585
1,112.89005533857477,24.822957358496247,600
1,112.89838867190811,24.822957358496247,629
1,112.90672200524145,24.822957358496247,673
1,112.91505533857479,24.822957358496247,688
1,112.92338867190813,24.822957358496247,688
1,112.93172200524147,24.822957358496247,703
1,112.94005533857481,24.822957358496247,703
1,112.94838867190815,24.822957358496247,732
1,112.95672200524149,24.822957358496247,717
1,112.96505533857483,24.822957358496247,688
1,112.88172200524143,24.814624025162914,587
1,112.89005533857477,24.814624025162914,616
1,112.89838867190811,24.814624025162914,631
1,112.90672200524145,24.814624025162914,660
1,112.91505533857479,24.814624025162914,675
1,112.92338867190813,24.814624025162914,704
1,112.93172200524147,24.814624025162914,689
1,112.94005533857481,24.814624025162914,704
1,112.94838867190815,24.814624025162914,719
1,112.95672200524149,24.814624025162914,719
1,112.96505533857483,24.814624025162914,689
1,112.97338867190817,24.814624025162914,689
1,112.87338867190809,24.80629069182958,588
1,112.88172200524143,24.80629069182958,588
1,112.89005533857477,24.80629069182958,588
1,112.89838867190811,24.80629069182958,617
1,112.90672200524145,24.80629069182958,632
1,112.91505533857479,24.80629069182958,647
1,112.92338867190813,24.80629069182958,661
1,112.93172200524147,24.80629069182958,676
1,112.94005533857481,24.80629069182958,691
1,112.94838867190815,24.80629069182958,705
1,112.95672200524149,24.80629069182958,735
1,112.96505533857483,24.80629069182958,720
1,112.97338867190817,24.80629069182958,705
1,112.98172200524151,24.80629069182958,690
1,112.84838867190807,24.797957358496248,605
1,112.85672200524141,24.797957358496248,619
1,112.86505533857475,24.797957358496248,604
1,112.87338867190809,24.797957358496248,619
1,112.88172200524143,24.797957358496248,634
1,112.89005533857477,24.797957358496248,634
1,112.89838867190811,24.797957358496248,663
1,112.90672200524145,24.797957358496248,678
1,112.91505533857479,24.797957358496248,692
1,112.92338867190813,24.797957358496248,692
1,112.93172200524147,24.797957358496248,707
1,112.94005533857481,24.797957358496248,707
1,112.94838867190815,24.797957358496248,721
1,112.95672200524149,24.797957358496248,721
1,112.96505533857483,24.797957358496248,706
1,112.97338867190817,24.797957358496248,677
1,112.98172200524151,24.797957358496248,691
1,112.84005533857473,24.789624025162915,606
1,112.84838867190807,24.789624025162915,606
1,112.85672200524141,24.789624025162915,636
1,112.86505533857475,24.789624025162915,635
1,112.87338867190809,24.789624025162915,650
1,112.88172200524143,24.789624025162915,679
1,112.89005533857477,24.789624025162915,679
1,112.89838867190811,24.789624025162915,679
1,112.90672200524145,24.789624025162915,664
1,112.91505533857479,24.789624025162915,679
1,112.92338867190813,24.789624025162915,708
1,112.93172200524147,24.789624025162915,723
1,112.94005533857481,24.789624025162915,708
1,112.94838867190815,24.789624025162915,708
1,112.95672200524149,24.789624025162915,708
1,112.96505533857483,24.789624025162915,708
1,112.97338867190817,24.789624025162915,678
1,112.98172200524151,24.789624025162915,663
1,112.84005533857473,24.781290691829582,608
1,112.84838867190807,24.781290691829582,608
1,112.85672200524141,24.781290691829582,607
1,112.86505533857475,24.781290691829582,637
1,112.87338867190809,24.781290691829582,666
1,112.88172200524143,24.781290691829582,681
1,112.89005533857477,24.781290691829582,651
1,112.89838867190811,24.781290691829582,651
1,112.90672200524145,24.781290691829582,666
1,112.91505533857479,24.781290691829582,680
1,112.92338867190813,24.781290691829582,680
1,112.93172200524147,24.781290691829582,680
1,112.94005533857481,24.781290691829582,695
1,112.94838867190815,24.781290691829582,709
1,112.95672200524149,24.781290691829582,724
1,112.96505533857483,24.781290691829582,694
1,112.97338867190817,24.781290691829582,679
1,112.98172200524151,24.781290691829582,649
1,112.84005533857473,24.77295735849625,609
1,112.84838867190807,24.77295735849625,609
1,112.85672200524141,24.77295735849625,624
1,112.86505533857475,24.77295735849625,624
1,112.87338867190809,24.77295735849625,638
1,112.88172200524143,24.77295735849625,638
1,112.89005533857477,24.77295735849625,623
1,112.89838867190811,24.77295735849625,638
1,112.90672200524145,24.77295735849625,652
1,112.91505533857479,24.77295735849625,652
1,112.92338867190813,24.77295735849625,667
1,112.93172200524147,24.77295735849625,696
1,112.94005533857481,24.77295735849625,711
1,112.94838867190815,24.77295735849625,725
1,112.95672200524149,24.77295735849625,710
1,112.96505533857483,24.77295735849625,695
1,112.97338867190817,24.77295735849625,665
1,112.98172200524151,24.77295735849625,665
1,112.84838867190807,24.764624025162917,611
1,112.85672200524141,24.764624025162917,610
1,112.86505533857475,24.764624025162917,610
1,112.87338867190809,24.764624025162917,610
1,112.88172200524143,24.764624025162917,625
1,112.89005533857477,24.764624025162917,639
1,112.89838867190811,24.764624025162917,654
1,112.90672200524145,24.764624025162917,668
1,112.91505533857479,24.764624025162917,683
1,112.92338867190813,24.764624025162917,698
1,112.93172200524147,24.764624025162917,712
1,112.94005533857481,24.764624025162917,727
1,112.94838867190815,24.764624025162917,726
1,112.95672200524149,24.764624025162917,726
1,112.96505533857483,24.764624025162917,696
1,112.97338867190817,24.764624025162917,681
1,112.98172200524151,24.764624025162917,666
1,112.84838867190807,24.756290691829584,612
1,112.85672200524141,24.756290691829584,627
1,112.86505533857475,24.756290691829584,612
1,112.87338867190809,24.756290691829584,626
1,112.88172200524143,24.756290691829584,641
1,112.89005533857477,24.756290691829584,670
1,112.89838867190811,24.756290691829584,670
1,112.90672200524145,24.756290691829584,685
1,112.91505533857479,24.756290691829584,699
1,112.92338867190813,24.756290691829584,699
1,112.93172200524147,24.756290691829584,714
1,112.94005533857481,24.756290691829584,698
1,112.94838867190815,24.756290691829584,698
1,112.95672200524149,24.756290691829584,698
1,112.96505533857483,24.756290691829584,683
1,112.97338867190817,24.756290691829584,667
1,112.98172200524151,24.756290691829584,652
1,112.84838867190807,24.74795735849625,629
1,112.85672200524141,24.74795735849625,658
1,112.86505533857475,24.74795735849625,658
1,112.87338867190809,24.74795735849625,658
1,112.88172200524143,24.74795735849625,642
1,112.89005533857477,24.74795735849625,657
1,112.89838867190811,24.74795735849625,672
1,112.90672200524145,24.74795735849625,671
1,112.91505533857479,24.74795735849625,686
1,112.92338867190813,24.74795735849625,686
1,112.93172200524147,24.74795735849625,700
1,112.94005533857481,24.74795735849625,700
1,112.94838867190815,24.74795735849625,685
1,112.95672200524149,24.74795735849625,684
1,112.96505533857483,24.74795735849625,669
1,112.97338867190817,24.74795735849625,654
1,112.98172200524151,24.74795735849625,654
1,112.85672200524141,24.739624025162918,675
1,112.86505533857475,24.739624025162918,705
