longitude,latitude,region_id,tmp,ndvi,年份
112.952246,24.688057,1,5.075,0.7363,200501
112.965083,24.688057,2,5.5,0.7428,200501
112.97792,24.688057,3,5.925,0.634,200501
112.862387,24.696527,4,6.1000000000000005,0.66859996,200501
112.888061,24.696527,5,3.775,0.7313,200501
112.939409,24.696527,6,4.375,0.7653,200501
112.952246,24.696527,7,4.824999999999999,0.74109995,200501
112.965083,24.696527,8,5.475,0.7141,200501
112.97792,24.696527,9,5.925,0.6648,200501
112.990757,24.696527,10,5.975,0.7197,200501
113.003594,24.696527,11,5.95,0.6358,200501
113.016431,24.696527,12,5.925000000000001,0.6045,200501
112.84955,24.704997,13,6.375,0.67969996,200501
112.862387,24.704997,14,6.175000000000001,0.67969996,200501
112.875224,24.704997,15,5.025,0.7005,200501
112.888061,24.704997,16,4.125,0.72529995,200501
112.900898,24.704997,17,2.7,0.8469,200501
112.913735,24.704997,18,3.225,0.8355,200501
112.926572,24.704997,19,3.9,0.7945,200501
112.939409,24.704997,20,4.25,0.80219996,200501
112.952246,24.704997,21,4.75,0.8005,200501
112.965083,24.704997,22,5.275,0.7457,200501
112.97792,24.704997,23,5.7250000000000005,0.73499995,200501
112.990757,24.704997,24,5.8500000000000005,0.7434,200501
113.003594,24.704997,25,5.949999999999999,0.6149,200501
113.016431,24.704997,26,5.925000000000001,0.59819996,200501
112.84955,24.713467,27,6.075000000000001,0.6547,200501
112.862387,24.713467,28,5.45,0.5775,200501
112.875224,24.713467,29,3.925,0.5952,200501
112.888061,24.713467,30,3.375,0.6612,200501
112.900898,24.713467,31,2.75,0.8129,200501
112.913735,24.713467,32,3.2750000000000004,0.80869997,200501
112.926572,24.713467,33,3.8,0.7547,200501
112.939409,24.713467,34,4.175000000000001,0.7373,200501
112.952246,24.713467,35,4.675000000000001,0.77239996,200501
112.965083,24.713467,36,5.25,0.7424,200501
112.97792,24.713467,37,5.55,0.7492,200501
112.990757,24.713467,38,5.65,0.736,200501
113.003594,24.713467,39,5.775,0.61179996,200501
112.84955,24.721937,40,5.550000000000001,0.6551,200501
112.862387,24.721937,41,4.925000000000001,0.66179997,200501
112.875224,24.721937,42,3.575,0.6756,200501
112.888061,24.721937,43,2.95,0.745,200501
112.900898,24.721937,44,2.875,0.7815,200501
112.913735,24.721937,45,3.35,0.7299,200501
112.926572,24.721937,46,3.6,0.70159996,200501
112.939409,24.721937,47,3.85,0.7205,200501
112.952246,24.721937,48,4.5,0.7518,200501
112.965083,24.721937,49,4.949999999999999,0.7353,200501
112.97792,24.721937,50,5.4,0.7326,200501
112.990757,24.721937,51,5.475,0.7326,200501
113.003594,24.721937,52,5.65,0.5724,200501
112.862387,24.730407,53,4.95,0.6824,200501
112.875224,24.730407,54,3.775,0.6127,200501
112.888061,24.730407,55,3.4250000000000003,0.73899996,200501
112.900898,24.730407,56,3.275,0.7324,200501
112.913735,24.730407,57,3.725,0.7324,200501
112.926572,24.730407,58,3.475,0.7168,200501
112.939409,24.730407,59,3.925,0.728,200501
112.952246,24.730407,60,4.425000000000001,0.74079996,200501
112.965083,24.730407,61,4.975,0.7399,200501
112.97792,24.730407,62,5.25,0.7136,200501
112.990757,24.730407,63,5.4750000000000005,0.6985,200501
113.003594,24.730407,64,5.675,0.6242,200501
112.84955,24.738877,65,5.8500000000000005,0.599,200501
