longitude,latitude,region_id,tmp,ndvi,年份
112.952246,24.688057,1,8.075,0.80469996,202001
112.965083,24.688057,2,8.5,0.79999995,202001
112.97792,24.688057,3,8.925,0.7747,202001
112.862387,24.696527,4,9.0,0.7739,202001
112.888061,24.696527,5,6.675,0.8009,202001
112.939409,24.696527,6,7.35,0.8387,202001
112.952246,24.696527,7,7.8,0.80539995,202001
112.965083,24.696527,8,8.475,0.7919,202001
112.97792,24.696527,9,8.925,0.77599996,202001
112.990757,24.696527,10,8.975,0.7887,202001
113.003594,24.696527,11,8.95,0.73969996,202001
113.016431,24.696527,12,8.924999999999999,0.7032,202001
112.84955,24.704997,13,9.275,0.7794,202001
112.862387,24.704997,14,9.075,0.7794,202001
112.875224,24.704997,15,7.925,0.7973,202001
112.888061,24.704997,16,7.025,0.8099,202001
112.900898,24.704997,17,5.6,0.8218,202001
112.913735,24.704997,18,6.15,0.8304,202001
112.926572,24.704997,19,6.85,0.8287,202001
112.939409,24.704997,20,7.175,0.8042,202001
112.952246,24.704997,21,7.725,0.80869997,202001
112.965083,24.704997,22,8.275,0.79999995,202001
112.97792,24.704997,23,8.725000000000001,0.7805,202001
112.990757,24.704997,24,8.85,0.7888,202001
113.003594,24.704997,25,8.950000000000001,0.7157,202001
113.016431,24.704997,26,8.925,0.7021,202001
112.84955,24.713467,27,8.975,0.7739,202001
112.862387,24.713467,28,8.35,0.7352,202001
112.875224,24.713467,29,6.825000000000001,0.70089996,202001
112.888061,24.713467,30,6.275,0.7524,202001
112.900898,24.713467,31,5.65,0.81159997,202001
112.913735,24.713467,32,6.175000000000001,0.79969996,202001
112.926572,24.713467,33,6.7,0.8039,202001
112.939409,24.713467,34,7.074999999999999,0.7818,202001
112.952246,24.713467,35,7.6,0.7769,202001
112.965083,24.713467,36,8.174999999999999,0.7938,202001
112.97792,24.713467,37,8.5,0.7927,202001
112.990757,24.713467,38,8.575,0.79679996,202001
113.003594,24.713467,39,8.725000000000001,0.71,202001
112.84955,24.721937,40,8.45,0.779,202001
112.862387,24.721937,41,7.825,0.7622,202001
112.875224,24.721937,42,6.475,0.72639996,202001
112.888061,24.721937,43,5.85,0.7873,202001
112.900898,24.721937,44,5.775,0.761,202001
112.913735,24.721937,45,6.249999999999999,0.7658,202001
112.926572,24.721937,46,6.500000000000001,0.77629995,202001
112.939409,24.721937,47,6.75,0.78709996,202001
112.952246,24.721937,48,7.4,0.79929996,202001
112.965083,24.721937,49,7.85,0.7935,202001
112.97792,24.721937,50,8.3,0.7958,202001
112.990757,24.721937,51,8.375,0.7958,202001
113.003594,24.721937,52,8.55,0.76199996,202001
112.862387,24.730407,53,7.85,0.75299996,202001
112.875224,24.730407,54,6.675,0.7333,202001
112.888061,24.730407,55,6.325,0.81509995,202001
112.900898,24.730407,56,6.175,0.76489997,202001
112.913735,24.730407,57,6.625,0.76489997,202001
112.926572,24.730407,58,6.375,0.7486,202001
112.939409,24.730407,59,6.825,0.7992,202001
112.952246,24.730407,60,7.324999999999999,0.7777,202001
112.965083,24.730407,61,7.875,0.7969,202001
112.97792,24.730407,62,8.149999999999999,0.7902,202001
112.990757,24.730407,63,8.375,0.7877,202001
113.003594,24.730407,64,8.575,0.69479996,202001
112.84955,24.738877,65,8.75,0.747,202001
112.862387,24.738877,66,8.2,0.78419995,202001
112.875224,24.738877,67,7.375,0.7826,202001
112.888061,24.738877,68,7.174999999999999,0.791,202001
112.900898,24.738877,69,7.275,0.74579996,202001
112.913735,24.738877,70,7.1,0.7274,202001
112.926572,24.738877,71,6.6,0.7353,202001
112.939409,24.738877,72,6.65,0.7467,202001
112.952246,24.738877,73,7.25,0.7739,202001
112.965083,24.738877,74,7.85,0.7856,202001
112.97792,24.738877,75,8.275,0.75839996,202001
112.990757,24.738877,76,8.475,0.7529,202001
113.003594,24.738877,77,8.575,0.67829996,202001
112.84955,24.747347,78,9.175,0.7425,202001
112.862387,24.747347,79,8.7,0.7927,202001
112.875224,24.747347,80,8.325,0.7901,202001
112.888061,24.747347,81,7.925000000000001,0.788,202001
112.900898,24.747347,82,7.675,0.7509,202001
112.913735,24.747347,83,7.175000000000001,0.7337,202001
112.926572,24.747347,84,6.75,0.7352,202001
112.939409,24.747347,85,6.574999999999999,0.73359996,202001
112.952246,24.747347,86,7.125,0.7837,202001
112.965083,24.747347,87,7.799999999999999,0.78779995,202001
112.97792,24.747347,88,8.350000000000001,0.7812,202001
112.84955,24.755817,89,9.775,0.78099996,202001
112.862387,24.755817,90,9.4,0.78529996,202001
112.875224,24.755817,91,8.975,0.7715,202001
112.888061,24.755817,92,8.325000000000001,0.7758,202001
112.900898,24.755817,93,7.675000000000001,0.7513,202001
112.913735,24.755817,94,7.075,0.73859996,202001
112.926572,24.755817,95,6.525,0.72959995,202001
112.939409,24.755817,96,6.324999999999999,0.73719996,202001
112.952246,24.755817,97,7.074999999999999,0.7892,202001
112.965083,24.755817,98,7.574999999999999,0.7892,202001
