经度,纬度,降水量_avg,相对湿度 (%)_avg,温度_avg
112.952246,24.688057,3470.8,48.916666666666664,22.37666666666666
112.965083,24.688057,3417.0333333333333,46.291333333333334,22.97833333333334
112.97792,24.688057,3371.2833333333333,47.119333333333344,23.57666666666667
112.862387,24.696527,3326.266666666667,41.20066666666666,23.64833333333333
112.888061,24.696527,3628.0,40.48066666666667,20.598333333333336
112.939409,24.696527,3580.1666666666665,47.58066666666668,21.423333333333332
112.952246,24.696527,3508.5833333333335,45.38733333333334,22.024999999999995
112.965083,24.696527,3417.7833333333333,43.916666666666664,22.97500000000001
112.97792,24.696527,3371.2833333333333,46.26800000000001,23.57666666666667
112.990757,24.696527,3370.45,44.66733333333333,23.74833333333333
113.003594,24.696527,3381.6833333333334,45.586666666666666,23.74833333333333
113.016431,24.696527,3386.7833333333333,45.205999999999996,23.77333333333333
112.84955,24.704997,3290.75,40.438,24.073333333333334
112.862387,24.704997,3317.616666666667,40.66466666666667,23.74833333333333
112.875224,24.704997,3466.2166666666667,40.665333333333336,22.198333333333334
112.888061,24.704997,3587.883333333333,40.36466666666666,21.02333333333333
112.900898,24.704997,3746.516666666667,41.60866666666666,19.27333333333333
112.913735,24.704997,3693.2,42.27333333333333,19.923333333333332
112.926572,24.704997,3632.866666666667,43.40733333333333,20.82333333333333
112.939409,24.704997,3593.7,46.18933333333334,21.27333333333333
112.952246,24.704997,3518.8333333333335,45.19533333333333,21.97333333333334
112.965083,24.704997,3447.8166666666666,44.36066666666667,22.773333333333326
112.97792,24.704997,3394.9,45.17200000000001,23.373333333333335
112.990757,24.704997,3390.2833333333333,42.31133333333333,23.573333333333338
113.003594,24.704997,3381.6833333333334,45.178000000000004,23.74833333333333
113.016431,24.704997,3386.7833333333333,46.01533333333334,23.77333333333333
112.84955,24.713467,3331.9333333333334,41.831333333333326,23.673333333333336
112.862387,24.713467,3415.9,41.029999999999994,22.823333333333334
112.875224,24.713467,3599.8166666666666,40.816,20.82333333333333
112.888061,24.713467,3668.133333333333,41.64266666666667,20.098333333333336
112.900898,24.713467,3735.55,42.38133333333334,19.348333333333336
112.913735,24.713467,3682.15,42.02733333333333,20.048333333333336
112.926572,24.713467,3637.7166666666667,45.62666666666667,20.748333333333335
112.939409,24.713467,3601.733333333333,44.947333333333326,21.19833333333333
112.952246,24.713467,3536.2833333333333,45.462666666666664,21.898333333333326
112.965083,24.713467,3468.366666666667,45.29199999999999,22.698333333333334
112.97792,24.713467,3424.9333333333334,44.522000000000006,23.173333333333336
112.990757,24.713467,3420.383333333333,45.161333333333324,23.323333333333334
113.003594,24.713467,3418.2166666666667,45.45133333333334,23.52333333333333
112.84955,24.721937,3385.1666666666665,44.931999999999995,22.99833333333333
112.862387,24.721937,3482.866666666667,44.461333333333336,22.173333333333336
112.875224,24.721937,3638.883333333333,44.61666666666667,20.423333333333332
112.888061,24.721937,3699.25,44.46333333333334,19.648333333333333
112.900898,24.721937,3708.766666666667,43.18466666666667,19.57333333333333
112.913735,24.721937,3664.7833333333333,41.37866666666667,20.19833333333333
112.926572,24.721937,3655.2833333333333,44.708666666666666,20.498333333333335
112.939409,24.721937,3635.1833333333334,44.88400000000001,20.82333333333333
112.952246,24.721937,3566.5333333333333,43.77133333333334,21.673333333333336
112.965083,24.721937,3514.45,45.18533333333334,22.34833333333334
112.97792,24.721937,3455.0833333333335,45.42666666666666,23.023333333333326
112.990757,24.721937,3460.116666666667,46.00333333333333,23.12333333333333
113.003594,24.721937,3438.9166666666665,45.25333333333333,23.423333333333336
112.862387,24.730407,3458.366666666667,45.23733333333334,22.24833333333333
112.875224,24.730407,3605.25,44.32,20.723333333333336
112.888061,24.730407,3633.95,44.16799999999999,20.298333333333332
112.900898,24.730407,3650.0833333333335,44.40533333333334,20.123333333333335
112.913735,24.730407,3621.8333333333335,44.204666666666654,20.69833333333333
112.926572,24.730407,3669.616666666667,43.95266666666667,20.348333333333336
112.939409,24.730407,3630.4166666666665,45.550666666666665,20.94833333333333
112.952246,24.730407,3584.0,44.827999999999996,21.62333333333333
112.965083,24.730407,3509.5666666666666,45.37266666666667,22.423333333333336
112.97792,24.730407,3472.55,46.49066666666667,22.87333333333333
112.990757,24.730407,3464.9666666666667,46.74066666666666,23.173333333333336
113.003594,24.730407,3437.383333333333,45.58400000000001,23.49833333333333
112.84955,24.738877,3342.133333333333,44.99933333333333,23.49833333333333
112.862387,24.738877,3406.0333333333333,45.99133333333334,22.74833333333333
112.875224,24.738877,3501.5,46.032000000000004,21.673333333333336
112.888061,24.738877,3517.5833333333335,46.30066666666668,21.423333333333336
112.900898,24.738877,3517.8166666666666,45.41266666666666,21.548333333333336
112.913735,24.738877,3569.116666666667,45.879333333333335,21.298333333333332
112.926572,24.738877,3652.1,45.38533333333333,20.673333333333332
112.939409,24.738877,3657.5833333333335,44.558,20.723333333333336
112.952246,24.738877,3598.383333333333,46.07533333333333,21.548333333333336
112.965083,24.738877,3520.6833333333334,46.275333333333336,22.37333333333333
112.97792,24.738877,3458.05,47.01866666666667,23.023333333333326
112.990757,24.738877,3447.35,46.515333333333324,23.37333333333333
113.003594,24.738877,3434.75,46.06466666666666,23.52333333333333
112.84955,24.747347,3297.4666666666667,46.510666666666665,24.098333333333336
112.862387,24.747347,3335.133333333333,46.75666666666667,23.473333333333336
112.875224,24.747347,3370.2833333333333,47.144,22.97333333333334
112.888061,24.747347,3421.45,45.486000000000004,22.423333333333336
112.900898,24.747347,3482.233333333333,47.10333333333333,22.073333333333334
112.913735,24.747347,3571.9166666666665,46.558,21.373333333333335
112.926572,24.747347,3640.9166666666665,45.42266666666668,20.873333333333335
112.939409,24.747347,3671.6666666666665,44.95333333333333,20.623333333333335
112.952246,24.747347,3612.8166666666666,45.60333333333333,21.348333333333336
112.965083,24.747347,3531.8333333333335,45.748666666666665,22.298333333333336
112.97792,24.747347,3456.3166666666666,46.208666666666666,23.073333333333334
112.84955,24.755817,3228.55,44.58866666666667,24.923333333333336
112.862387,24.755817,3247.7166666666667,44.67999999999999,24.448333333333334
112.875224,24.755817,3289.233333333333,47.72933333333334,23.823333333333334
112.888061,24.755817,3372.233333333333,45.93600000000001,22.923333333333336
