经度,纬度,降水量,时间步长,相对湿度 (%),温度,月份
112.952246,24.688057,1124.75,0,72.59,6.4750000000000005,201001
112.965083,24.688057,1094.75,0,71.68,6.9,201001
112.97792,24.688057,1067.5,0,70.65,7.325,201001
112.862387,24.696527,1096.25,0,66.4,7.5,201001
112.888061,24.696527,1168.0,0,68.18,5.175,201001
112.939409,24.696527,1142.75,0,69.26,5.775,201001
112.952246,24.696527,1138.25,0,70.7,6.2250000000000005,201001
112.965083,24.696527,1097.0,0,70.13,6.875,201001
112.97792,24.696527,1067.5,0,70.12,7.325,201001
112.990757,24.696527,1048.5,0,70.47,7.375,201001
113.003594,24.696527,1046.25,0,71.44,7.35,201001
113.016431,24.696527,1048.0,0,71.0,7.325,201001
112.84955,24.704997,1078.25,0,67.09,7.775,201001
112.862387,24.704997,1090.25,0,66.7,7.575,201001
112.875224,24.704997,1136.0,0,67.14,6.425,201001
112.888061,24.704997,1156.0,0,68.4,5.525,201001
112.900898,24.704997,1208.5,0,68.42,4.1,201001
112.913735,24.704997,1176.75,0,69.46,4.625,201001
112.926572,24.704997,1153.0,0,69.02,5.299999999999999,201001
112.939409,24.704997,1144.75,0,69.27,5.65,201001
112.952246,24.704997,1134.5,0,71.75,6.15,201001
112.965083,24.704997,1089.25,0,71.81,6.675,201001
112.97792,24.704997,1072.0,0,72.08,7.125,201001
112.990757,24.704997,1057.0,0,73.02,7.25,201001
113.003594,24.704997,1046.25,0,72.65,7.35,201001
113.016431,24.704997,1048.0,0,72.83,7.324999999999999,201001
112.84955,24.713467,1086.0,0,67.32,7.475,201001
112.862387,24.713467,1106.0,0,67.13,6.85,201001
112.875224,24.713467,1153.5,0,67.13,5.325000000000001,201001
112.888061,24.713467,1178.0,0,68.81,4.775,201001
112.900898,24.713467,1194.5,0,68.76,4.15,201001
112.913735,24.713467,1162.5,0,69.07,4.675,201001
112.926572,24.713467,1151.5,0,70.18,5.199999999999999,201001
112.939409,24.713467,1149.5,0,71.34,5.574999999999999,201001
112.952246,24.713467,1126.5,0,72.88,6.075,201001
112.965083,24.713467,1093.25,0,73.15,6.65,201001
112.97792,24.713467,1082.75,0,71.38,6.95,201001
112.990757,24.713467,1080.25,0,71.91,7.05,201001
113.003594,24.713467,1063.25,0,71.75,7.175,201001
112.84955,24.721937,1109.0,0,69.23,6.95,201001
112.862387,24.721937,1121.5,0,69.03,6.325,201001
112.875224,24.721937,1151.25,0,68.63,4.975,201001
112.888061,24.721937,1178.5,0,70.41,4.35,201001
112.900898,24.721937,1174.0,0,68.07,4.275,201001
112.913735,24.721937,1160.25,0,68.96,4.75,201001
112.926572,24.721937,1168.25,0,69.78,5.0,201001
112.939409,24.721937,1172.5,0,71.32,5.25,201001
112.952246,24.721937,1137.0,0,72.59,5.9,201001
112.965083,24.721937,1116.0,0,72.15,6.35,201001
112.97792,24.721937,1099.5,0,71.41,6.800000000000001,201001
112.990757,24.721937,1097.25,0,72.53,6.875000000000001,201001
113.003594,24.721937,1080.25,0,72.47,7.050000000000001,201001
112.862387,24.730407,1131.0,0,71.46,6.35,201001
112.875224,24.730407,1155.0,0,71.69,5.175,201001
112.888061,24.730407,1164.25,0,71.14,4.825,201001
112.900898,24.730407,1159.75,0,69.13,4.675,201001
112.913735,24.730407,1145.75,0,70.25,5.125,201001
112.926572,24.730407,1172.25,0,69.53,4.875,201001
112.939409,24.730407,1164.25,0,71.69,5.325,201001
112.952246,24.730407,1141.5,0,71.1,5.824999999999999,201001
112.965083,24.730407,1108.25,0,70.21,6.375,201001
112.97792,24.730407,1104.0,0,70.65,6.65,201001
112.990757,24.730407,1095.5,0,69.56,6.874999999999999,201001
113.003594,24.730407,1078.5,0,72.15,7.074999999999999,201001
112.84955,24.738877,1081.0,0,71.96,7.25,201001
112.862387,24.738877,1118.75,0,73.05,6.699999999999999,201001
112.875224,24.738877,1128.0,0,69.68,5.875,201001
112.888061,24.738877,1131.25,0,69.41,5.674999999999999,201001
112.900898,24.738877,1128.25,0,68.05,5.775,201001
112.913735,24.738877,1137.5,0,68.97,5.6,201001
112.926572,24.738877,1158.25,0,70.15,5.1,201001
112.939409,24.738877,1181.25,0,71.17,5.15,201001
112.952246,24.738877,1152.25,0,70.01,5.75,201001
112.965083,24.738877,1118.75,0,68.66,6.3500000000000005,201001
112.97792,24.738877,1095.75,0,69.95,6.775,201001
112.990757,24.738877,1087.5,0,69.53,6.975,201001
113.003594,24.738877,1076.0,0,70.65,7.074999999999999,201001
112.84955,24.747347,1051.0,0,73.16,7.675000000000001,201001
112.862387,24.747347,1078.0,0,73.57,7.199999999999999,201001
