时间步长,经度,纬度,平均温度
1,112.88172200524144,24.839624025162912,9.1
1,112.89005533857475,24.839624025162912,8.6
1,112.88172200524144,24.83129069182958,9.2
1,112.89005533857475,24.83129069182958,8.8
1,112.89838867190812,24.83129069182958,7.9
1,112.90672200524143,24.83129069182958,7.6
1,112.9150553385748,24.83129069182958,7.5
1,112.88172200524144,24.822957358496247,9.2
1,112.89005533857475,24.822957358496247,8.7
1,112.89838867190812,24.822957358496247,8.0
1,112.90672200524143,24.822957358496247,7.2
1,112.9150553385748,24.822957358496247,6.9
1,112.92338867190811,24.822957358496247,6.7
1,112.93172200524148,24.822957358496247,6.2
1,112.9400553385748,24.822957358496247,5.9
1,112.94838867190816,24.822957358496247,5.4
1,112.95672200524147,24.822957358496247,5.9
1,112.96505533857484,24.822957358496247,6.5
1,112.88172200524144,24.814624025162917,9.2
1,112.89005533857475,24.814624025162917,8.5
1,112.89838867190812,24.814624025162917,8.2
1,112.90672200524143,24.814624025162917,7.4
1,112.9150553385748,24.814624025162917,6.8
1,112.92338867190811,24.814624025162917,6.3
1,112.93172200524148,24.814624025162917,6.0
1,112.9400553385748,24.814624025162917,5.9
1,112.94838867190816,24.814624025162917,5.8
1,112.95672200524147,24.814624025162917,6.0
1,112.96505533857484,24.814624025162917,6.4
1,112.97338867190815,24.814624025162917,6.7
1,112.87338867190807,24.80629069182958,9.6
1,112.88172200524144,24.80629069182958,9.3
1,112.89005533857475,24.80629069182958,8.9
1,112.89838867190812,24.80629069182958,8.4
1,112.90672200524143,24.80629069182958,7.9
1,112.9150553385748,24.80629069182958,7.5
1,112.92338867190811,24.80629069182958,7.0
1,112.93172200524148,24.80629069182958,6.7
1,112.9400553385748,24.80629069182958,6.1
1,112.94838867190816,24.80629069182958,5.8
1,112.95672200524147,24.80629069182958,5.5
1,112.96505533857484,24.80629069182958,5.8
1,112.97338867190815,24.80629069182958,6.2
1,112.98172200524152,24.80629069182958,6.6
1,112.84838867190808,24.797957358496248,9.6
1,112.8567220052414,24.797957358496248,9.0
1,112.86505533857476,24.797957358496248,9.1
1,112.87338867190807,24.797957358496248,8.8
1,112.88172200524144,24.797957358496248,8.3
1,112.89005533857475,24.797957358496248,8.2
1,112.89838867190812,24.797957358496248,7.5
1,112.90672200524143,24.797957358496248,7.0
1,112.9150553385748,24.797957358496248,6.6
1,112.92338867190811,24.797957358496248,6.6
1,112.93172200524148,24.797957358496248,5.9
1,112.9400553385748,24.797957358496248,5.9
1,112.94838867190816,24.797957358496248,5.6
1,112.95672200524147,24.797957358496248,5.6
1,112.96505533857484,24.797957358496248,6.3
1,112.97338867190815,24.797957358496248,6.8
1,112.98172200524152,24.797957358496248,7.0
1,112.84005533857471,24.789624025162915,10.1
1,112.84838867190808,24.789624025162915,9.5
1,112.8567220052414,24.789624025162915,8.5
1,112.86505533857476,24.789624025162915,8.4
1,112.87338867190807,24.789624025162915,8.0
1,112.88172200524144,24.789624025162915,7.5
1,112.89005533857475,24.789624025162915,7.1
1,112.89838867190812,24.789624025162915,7.3
1,112.90672200524143,24.789624025162915,7.2
1,112.9150553385748,24.789624025162915,6.8
1,112.92338867190811,24.789624025162915,6.1
1,112.93172200524148,24.789624025162915,5.6
1,112.9400553385748,24.789624025162915,5.6
1,112.94838867190816,24.789624025162915,5.7
1,112.95672200524147,24.789624025162915,6.1
1,112.96505533857484,24.789624025162915,6.5
1,112.97338867190815,24.789624025162915,7.1
1,112.98172200524152,24.789624025162915,7.6
1,112.84005533857471,24.781290691829582,10.2
1,112.84838867190808,24.781290691829582,9.7
1,112.8567220052414,24.781290691829582,9.3
1,112.86505533857476,24.781290691829582,8.7
1,112.87338867190807,24.781290691829582,7.9
1,112.88172200524144,24.781290691829582,7.6
1,112.89005533857475,24.781290691829582,8.0
1,112.89838867190812,24.781290691829582,8.0
1,112.90672200524143,24.781290691829582,7.4
1,112.9150553385748,24.781290691829582,6.9
1,112.92338867190811,24.781290691829582,6.9
1,112.93172200524148,24.781290691829582,6.9
1,112.9400553385748,24.781290691829582,6.5
