经度,纬度,降水量,时间步长,相对湿度 (%),温度,月份
112.952246,24.688057,168.75,0,69.51,2.275,201101
112.965083,24.688057,164.0,0,68.47,2.7,201101
112.97792,24.688057,159.0,0,67.31,3.125,201101
112.862387,24.696527,168.5,0,63.33,3.3,201101
112.888061,24.696527,178.25,0,65.1,0.975,201101
112.939409,24.696527,171.5,0,66.29,1.5749999999999995,201101
112.952246,24.696527,170.5,0,67.28,2.025,201101
112.965083,24.696527,164.0,0,66.96,2.675,201101
112.97792,24.696527,159.0,0,67.25,3.125,201101
112.990757,24.696527,155.0,0,67.62,3.1750000000000003,201101
113.003594,24.696527,154.0,0,66.29,3.15,201101
113.016431,24.696527,153.75,0,66.51,3.125,201101
112.84955,24.704997,166.0,0,63.87,3.575,201101
112.862387,24.704997,167.75,0,63.4,3.375,201101
112.875224,24.704997,173.75,0,63.49,2.225,201101
112.888061,24.704997,176.25,0,64.6,1.325,201101
112.900898,24.704997,183.5,0,65.55,-0.1,201101
112.913735,24.704997,177.75,0,66.48,0.425,201101
112.926572,24.704997,174.0,0,65.71,1.1,201101
112.939409,24.704997,171.5,0,66.4,1.4499999999999995,201101
112.952246,24.704997,169.5,0,68.66,1.95,201101
112.965083,24.704997,162.0,0,68.84,2.475,201101
112.97792,24.704997,159.0,0,69.75,2.925,201101
112.990757,24.704997,156.0,0,70.58,3.05,201101
113.003594,24.704997,154.0,0,67.94,3.1500000000000004,201101
113.016431,24.704997,153.75,0,67.94,3.125,201101
112.84955,24.713467,167.0,0,63.76,3.2750000000000004,201101
112.862387,24.713467,169.5,0,63.28,2.65,201101
112.875224,24.713467,175.75,0,63.36,1.125,201101
112.888061,24.713467,179.0,0,64.92,0.575,201101
112.900898,24.713467,180.5,0,65.51,-0.05,201101
112.913735,24.713467,174.75,0,65.74,0.475,201101
112.926572,24.713467,172.75,0,67.15,1.0,201101
112.939409,24.713467,171.0,0,68.47,1.375,201101
112.952246,24.713467,167.5,0,69.51,1.875,201101
112.965083,24.713467,162.0,0,68.96,2.45,201101
112.97792,24.713467,159.75,0,67.06,2.75,201101
112.990757,24.713467,158.25,0,67.01,2.85,201101
113.003594,24.713467,155.5,0,66.06,2.975,201101
112.84955,24.721937,169.5,0,65.48,2.75,201101
112.862387,24.721937,171.25,0,65.23,2.125,201101
112.875224,24.721937,174.75,0,66.02,0.775,201101
112.888061,24.721937,178.0,0,67.29,0.15,201101
112.900898,24.721937,177.0,0,64.78,0.075,201101
112.913735,24.721937,173.75,0,65.51,0.55,201101
112.926572,24.721937,174.25,0,65.96,0.8,201101
112.939409,24.721937,174.0,0,67.48,1.05,201101
112.952246,24.721937,168.25,0,68.6,1.7000000000000002,201101
112.965083,24.721937,164.25,0,67.32,2.15,201101
112.97792,24.721937,161.25,0,65.97,2.6,201101
112.990757,24.721937,160.0,0,67.45,2.6750000000000003,201101
113.003594,24.721937,157.0,0,66.89,2.85,201101
112.862387,24.730407,172.0,0,68.07,2.15,201101
112.875224,24.730407,174.5,0,68.54,0.975,201101
112.888061,24.730407,175.0,0,68.04,0.625,201101
112.900898,24.730407,174.0,0,66.05,0.475,201101
112.913735,24.730407,170.75,0,67.24,0.925,201101
112.926572,24.730407,174.0,0,65.25,0.675,201101
112.939409,24.730407,172.0,0,67.12,1.125,201101
112.952246,24.730407,168.0,0,66.35,1.625,201101
112.965083,24.730407,162.0,0,65.61,2.1750000000000003,201101
112.97792,24.730407,161.0,0,65.94,2.45,201101
112.990757,24.730407,159.0,0,64.75,2.6750000000000003,201101
113.003594,24.730407,156.0,0,66.83,2.875,201101
112.84955,24.738877,163.5,0,69.04,3.05,201101
112.862387,24.738877,169.0,0,70.15,2.5,201101
112.875224,24.738877,169.5,0,66.66,1.6749999999999998,201101
112.888061,24.738877,169.25,0,66.55,1.475,201101
112.900898,24.738877,168.0,0,65.19,1.5750000000000002,201101
112.913735,24.738877,169.0,0,65.9,1.4,201101
112.926572,24.738877,171.0,0,65.2,0.8999999999999999,201101
112.939409,24.738877,173.5,0,66.3,0.95,201101
112.952246,24.738877,168.75,0,65.84,1.5500000000000005,201101
112.965083,24.738877,163.0,0,64.28,2.15,201101
112.97792,24.738877,159.0,0,64.37,2.575,201101
112.990757,24.738877,157.0,0,63.75,2.7750000000000004,201101
113.003594,24.738877,155.0,0,65.29,2.875,201101
112.84955,24.747347,159.25,0,70.6,3.475,201101
112.862387,24.747347,162.75,0,70.9,3.0,201101
112.875224,24.747347,162.25,0,65.81,2.625,201101
112.888061,24.747347,164.0,0,64.99,2.225,201101
112.900898,24.747347,165.25,0,65.03,1.975,201101
112.913735,24.747347,169.0,0,65.78,1.475,201101
112.926572,24.747347,170.0,0,66.22,1.05,201101
112.939409,24.747347,173.0,0,65.76,0.875,201101
112.952246,24.747347,169.75,0,63.78,1.4249999999999998,201101
112.965083,24.747347,164.0,0,64.61,2.1,201101
112.97792,24.747347,159.0,0,64.1,2.65,201101
112.84955,24.755817,154.5,0,69.53,4.075,201101
112.862387,24.755817,156.0,0,69.5,3.7,201101
112.875224,24.755817,157.75,0,66.89,3.2750000000000004,201101
112.888061,24.755817,162.25,0,63.45,2.625,201101
112.900898,24.755817,166.25,0,65.35,1.975,201101
112.913735,24.755817,170.75,0,64.74,1.375,201101
112.926572,24.755817,173.25,0,65.58,0.8250000000000001,201101
112.939409,24.755817,176.0,0,65.87,0.6250000000000001,201101
112.952246,24.755817,170.0,0,63.84,1.375,201101
112.965083,24.755817,167.0,0,65.66,1.875,201101
112.97792,24.755817,161.25,0,66.34,2.5,201101
112.84955,24.764287,154.25,0,67.51,4.3500000000000005,201101
112.862387,24.764287,154.75,0,65.62,3.925,201101
112.875224,24.764287,157.5,0,64.1,3.4,201101
112.888061,24.764287,160.75,0,62.11,2.925,201101
112.900898,24.764287,165.0,0,62.49,2.3,201101
112.913735,24.764287,169.25,0,63.69,1.7000000000000002,201101
112.926572,24.764287,173.75,0,63.37,0.975,201101
112.939409,24.764287,178.0,0,65.61,0.5,201101
112.952246,24.764287,176.5,0,64.17,0.95,201101
112.965083,24.764287,172.75,0,66.54,1.425,201101
112.97792,24.764287,164.75,0,64.12,2.2,201101
112.836713,24.772757,156.0,0,62.66,4.525,201101
112.84955,24.772757,156.5,0,66.82,4.199999999999999,201101
112.862387,24.772757,159.0,0,64.45,3.625,201101
112.875224,24.772757,162.75,0,62.89,3.075,201101
112.888061,24.772757,162.0,0,62.2,2.95,201101
112.900898,24.772757,164.5,0,61.11,2.525,201101
112.913735,24.772757,168.75,0,63.07,1.95,201101
112.926572,24.772757,173.5,0,63.33,1.375,201101
112.939409,24.772757,178.5,0,63.04,0.75,201101
112.952246,24.772757,181.0,0,65.19,0.75,201101
112.965083,24.772757,173.5,0,64.76,1.575,201101
112.97792,24.772757,167.0,0,62.21,2.075,201101
112.836713,24.781227,157.5,0,61.87,4.475,201101
112.84955,24.781227,157.25,0,63.95,4.0,201101
112.862387,24.781227,161.5,0,62.19,3.25,201101
112.875224,24.781227,169.75,0,62.35,2.4,201101
112.888061,24.781227,169.25,0,62.48,2.2750000000000004,201101
112.900898,24.781227,169.0,0,60.97,2.175,201101
112.913735,24.781227,171.5,0,62.57,1.7,201101
112.926572,24.781227,175.0,0,63.81,1.275,201101
112.939409,24.781227,178.0,0,60.9,0.775,201101
112.952246,24.781227,182.25,0,65.35,0.45,201101
112.965083,24.781227,176.75,0,64.36,1.225,201101
112.97792,24.781227,168.0,0,62.3,2.05,201101
112.84955,24.789697,160.5,0,64.53,3.725,201101
112.862387,24.789697,164.0,0,61.27,3.075,201101
112.875224,24.789697,170.25,0,61.43,2.45,201101
112.888061,24.789697,172.0,0,61.95,2.1,201101
112.900898,24.789697,172.25,0,61.68,1.9,201101
112.913735,24.789697,175.75,0,61.07,1.2999999999999998,201101
112.926572,24.789697,181.0,0,63.89,0.725,201101
112.939409,24.789697,182.25,0,62.09,0.35,201101
112.952246,24.789697,182.75,0,64.94,0.3,201101
112.965083,24.789697,179.75,0,62.68,0.975,201101
112.97792,24.789697,171.0,0,62.98,1.875,201101
112.84955,24.798167,162.25,0,63.53,3.5500000000000003,201101
112.862387,24.798167,164.0,0,62.79,3.15,201101
112.875224,24.798167,164.0,0,62.99,3.075,201101
112.888061,24.798167,166.75,0,63.21,2.5250000000000004,201101
112.900898,24.798167,172.75,0,60.71,1.95,201101
112.913735,24.798167,176.25,0,62.17,1.375,201101
112.926572,24.798167,180.5,0,63.05,0.8,201101
112.939409,24.798167,182.75,0,63.02,0.3,201101
112.952246,24.798167,187.75,0,63.65,0.025,201101
112.965083,24.798167,183.25,0,61.87,0.55,201101
112.97792,24.798167,179.25,0,63.38,1.1,201101
112.875224,24.806637,158.75,0,63.46,3.625,201101
112.888061,24.806637,161.25,0,63.09,3.125,201101
112.900898,24.806637,168.5,0,61.71,2.4,201101
112.913735,24.806637,174.75,0,61.91,1.6,201101
112.926572,24.806637,180.25,0,62.84,1.05,201101
112.939409,24.806637,182.5,0,62.57,0.55,201101
112.952246,24.806637,189.25,0,62.75,0.175,201101
112.965083,24.806637,186.5,0,61.65,0.375,201101
112.97792,24.806637,180.75,0,64.25,1.05,201101
112.875224,24.815107,157.75,0,62.32,3.725,201101
112.888061,24.815107,160.5,0,61.25,3.225,201101
112.900898,24.815107,170.25,0,61.69,2.4000000000000004,201101
112.913735,24.815107,178.5,0,61.18,1.5499999999999998,201101
112.926572,24.815107,182.5,0,62.64,0.9,201101
112.939409,24.815107,184.75,0,61.15,0.375,201101
112.952246,24.815107,191.75,0,61.18,0.175,201101
112.965083,24.815107,184.0,0,62.34,0.8,201101
112.875224,24.823577,160.25,0,61.19,3.475,201101
112.888061,24.823577,162.75,0,61.58,3.2,201101
112.900898,24.823577,173.5,0,60.83,2.225,201101
112.913735,24.823577,180.75,0,63.47,1.5000000000000002,201101
112.926572,24.823577,186.25,0,62.19,0.7000000000000001,201101
112.939409,24.823577,190.0,0,62.3,0.25,201101
112.952246,24.823577,191.75,0,60.49,0.175,201101
112.965083,24.823577,184.25,0,63.73,0.775,201101
112.888061,24.832047,163.5,0,62.39,3.225,201101
112.900898,24.832047,175.25,0,63.82,2.075,201101
112.913735,24.832047,179.75,0,64.06,1.7000000000000002,201101
112.888061,24.840517,162.25,0,62.43,3.325,201101
112.888061,24.848987,162.25,0,63.51,3.325,201101
112.952246,24.688057,524.75,1,75.35,6.925,201102
112.965083,24.688057,519.75,1,74.79,7.375,201102
112.97792,24.688057,516.5,1,75.07,7.85,201102
112.862387,24.696527,507.5,1,72.05,7.975,201102
112.888061,24.696527,534.0,1,73.3,5.550000000000001,201102
112.939409,24.696527,529.75,1,74.86,6.2,201102
112.952246,24.696527,527.5,1,75.03,6.65,201102
112.965083,24.696527,521.5,1,74.32,7.375,201102
112.97792,24.696527,516.5,1,75.53,7.85,201102
112.990757,24.696527,515.5,1,75.73,7.9,201102
113.003594,24.696527,516.25,1,75.61,7.85,201102
113.016431,24.696527,516.5,1,74.22,7.875000000000001,201102
112.84955,24.704997,501.25,1,72.47,8.225,201102
112.862387,24.704997,506.25,1,72.28,8.05,201102
112.875224,24.704997,519.5,1,71.98,6.85,201102
112.888061,24.704997,530.0,1,72.18,5.9,201102
112.900898,24.704997,542.0,1,72.52,4.5,201102
112.913735,24.704997,538.25,1,73.04,5.0,201102
112.926572,24.704997,532.0,1,73.52,5.699999999999999,201102
112.939409,24.704997,531.25,1,74.81,6.05,201102
112.952246,24.704997,527.75,1,75.39,6.6,201102
112.965083,24.704997,521.75,1,76.84,7.175,201102
112.97792,24.704997,519.25,1,77.6,7.65,201102
112.990757,24.704997,517.0,1,78.85,7.774999999999999,201102
113.003594,24.704997,516.25,1,76.94,7.85,201102
113.016431,24.704997,516.5,1,76.33,7.875,201102
112.84955,24.713467,505.25,1,70.8,7.9,201102
112.862387,24.713467,514.25,1,70.86,7.3,201102
112.875224,24.713467,530.25,1,70.77,5.725,201102
112.888061,24.713467,535.5,1,71.25,5.15,201102
112.900898,24.713467,540.75,1,71.24,4.5,201102
112.913735,24.713467,537.25,1,71.62,5.05,201102
112.926572,24.713467,532.25,1,74.68,5.6,201102
112.939409,24.713467,531.75,1,75.86,6.0,201102
112.952246,24.713467,526.75,1,77.01,6.55,201102
112.965083,24.713467,520.5,1,78.77,7.15,201102
112.97792,24.713467,518.0,1,76.18,7.475,201102
112.990757,24.713467,516.0,1,77.21,7.574999999999999,201102
113.003594,24.713467,515.25,1,75.8,7.7,201102
112.84955,24.721937,512.0,1,71.89,7.375,201102
112.862387,24.721937,519.75,1,72.0,6.75,201102
112.875224,24.721937,533.0,1,72.8,5.375,201102
112.888061,24.721937,537.0,1,73.02,4.725,201102
112.900898,24.721937,538.25,1,70.96,4.625,201102
112.913735,24.721937,535.0,1,72.39,5.15,201102
112.926572,24.721937,535.25,1,73.76,5.4,201102
112.939409,24.721937,535.5,1,75.33,5.675,201102
112.952246,24.721937,528.0,1,77.66,6.375000000000001,201102
112.965083,24.721937,522.0,1,76.55,6.8500000000000005,201102
112.97792,24.721937,517.25,1,76.46,7.35,201102
112.990757,24.721937,519.0,1,77.82,7.375000000000001,201102
113.003594,24.721937,515.25,1,75.88,7.6,201102
112.862387,24.730407,518.5,1,74.16,6.825,201102
112.875224,24.730407,529.5,1,74.56,5.6,201102
112.888061,24.730407,529.5,1,74.29,5.25,201102
112.900898,24.730407,532.0,1,72.55,5.1000000000000005,201102
112.913735,24.730407,529.0,1,74.38,5.575,201102
112.926572,24.730407,535.5,1,73.11,5.3,201102
112.939409,24.730407,531.75,1,75.05,5.75,201102
112.952246,24.730407,528.25,1,76.62,6.275,201102
112.965083,24.730407,522.5,1,75.37,6.9,201102
112.97792,24.730407,519.0,1,75.9,7.199999999999999,201102
112.990757,24.730407,516.5,1,75.31,7.399999999999999,201102
113.003594,24.730407,515.25,1,76.58,7.625,201102
112.84955,24.738877,502.25,1,75.35,7.75,201102
112.862387,24.738877,509.75,1,76.04,7.175,201102
112.875224,24.738877,519.5,1,73.08,6.35,201102
112.888061,24.738877,519.5,1,74.1,6.15,201102
112.900898,24.738877,518.25,1,71.96,6.250000000000001,201102
112.913735,24.738877,521.5,1,73.39,6.074999999999999,201102
112.926572,24.738877,531.75,1,73.59,5.55,201102
112.939409,24.738877,532.25,1,75.36,5.55,201102
112.952246,24.738877,528.75,1,75.96,6.199999999999999,201102
112.965083,24.738877,524.0,1,73.79,6.8500000000000005,201102
112.97792,24.738877,517.75,1,72.4,7.3,201102
112.990757,24.738877,514.25,1,73.51,7.525,201102
113.003594,24.738877,514.25,1,75.59,7.625,201102
112.84955,24.747347,491.25,1,76.29,8.175,201102
112.862387,24.747347,496.25,1,76.95,7.7,201102
112.875224,24.747347,503.5,1,72.93,7.35,201102
112.888061,24.747347,510.0,1,72.19,6.95,201102
112.900898,24.747347,515.25,1,70.37,6.675,201102
112.913735,24.747347,522.25,1,72.34,6.15,201102
112.926572,24.747347,530.75,1,74.86,5.725,201102
112.939409,24.747347,534.5,1,75.0,5.5,201102
112.952246,24.747347,531.5,1,74.58,6.075,201102
112.965083,24.747347,524.0,1,73.58,6.775,201102
112.97792,24.747347,516.5,1,73.5,7.35,201102
112.84955,24.755817,476.0,1,75.12,8.774999999999999,201102
112.862387,24.755817,479.75,1,75.49,8.45,201102
112.875224,24.755817,492.0,1,73.71,8.0,201102
