经度,纬度,降水量,时间步长,月份
112.952246,24.688057,347.0,0,200701
112.965083,24.688057,337.25,0,200701
112.97792,24.688057,327.5,0,200701
112.862387,24.696527,348.75,0,200701
112.888061,24.696527,368.25,0,200701
112.939409,24.696527,353.75,0,200701
112.952246,24.696527,351.25,0,200701
112.965083,24.696527,337.5,0,200701
112.97792,24.696527,327.5,0,200701
112.990757,24.696527,319.75,0,200701
113.003594,24.696527,317.0,0,200701
113.016431,24.696527,316.5,0,200701
112.84955,24.704997,343.75,0,200701
112.862387,24.704997,347.25,0,200701
112.875224,24.704997,359.5,0,200701
112.888061,24.704997,364.75,0,200701
112.900898,24.704997,379.25,0,200701
112.913735,24.704997,367.25,0,200701
112.926572,24.704997,358.5,0,200701
112.939409,24.704997,354.25,0,200701
112.952246,24.704997,349.5,0,200701
112.965083,24.704997,334.0,0,200701
112.97792,24.704997,328.0,0,200701
112.990757,24.704997,321.75,0,200701
113.003594,24.704997,317.0,0,200701
113.016431,24.704997,316.5,0,200701
112.84955,24.713467,346.0,0,200701
112.862387,24.713467,351.5,0,200701
112.875224,24.713467,364.25,0,200701
112.888061,24.713467,371.0,0,200701
112.900898,24.713467,374.0,0,200701
112.913735,24.713467,362.25,0,200701
112.926572,24.713467,357.25,0,200701
112.939409,24.713467,354.75,0,200701
112.952246,24.713467,346.5,0,200701
112.965083,24.713467,334.75,0,200701
112.97792,24.713467,330.25,0,200701
112.990757,24.713467,328.0,0,200701
113.003594,24.713467,321.25,0,200701
112.84955,24.721937,352.25,0,200701
112.862387,24.721937,355.5,0,200701
112.875224,24.721937,363.0,0,200701
112.888061,24.721937,369.75,0,200701
112.900898,24.721937,366.75,0,200701
112.913735,24.721937,361.0,0,200701
112.926572,24.721937,361.75,0,200701
112.939409,24.721937,361.25,0,200701
112.952246,24.721937,349.0,0,200701
112.965083,24.721937,341.0,0,200701
112.97792,24.721937,334.75,0,200701
112.990757,24.721937,332.25,0,200701
113.003594,24.721937,325.75,0,200701
112.862387,24.730407,358.0,0,200701
112.875224,24.730407,363.5,0,200701
112.888061,24.730407,364.75,0,200701
112.900898,24.730407,361.5,0,200701
112.913735,24.730407,355.75,0,200701
112.926572,24.730407,362.5,0,200701
112.939409,24.730407,358.0,0,200701
112.952246,24.730407,349.5,0,200701
112.965083,24.730407,337.75,0,200701
112.97792,24.730407,335.25,0,200701
112.990757,24.730407,330.75,0,200701
113.003594,24.730407,324.5,0,200701
112.84955,24.738877,342.0,0,200701
112.862387,24.738877,353.25,0,200701
112.875224,24.738877,354.25,0,200701
112.888061,24.738877,353.75,0,200701
112.900898,24.738877,351.0,0,200701
112.913735,24.738877,352.5,0,200701
112.926572,24.738877,357.25,0,200701
112.939409,24.738877,362.25,0,200701
112.952246,24.738877,352.0,0,200701
112.965083,24.738877,340.0,0,200701
112.97792,24.738877,331.75,0,200701
112.990757,24.738877,327.5,0,200701
113.003594,24.738877,323.25,0,200701
112.84955,24.747347,332.75,0,200701
112.862387,24.747347,340.0,0,200701
112.875224,24.747347,339.25,0,200701
112.888061,24.747347,342.75,0,200701
112.900898,24.747347,346.0,0,200701
112.913735,24.747347,353.0,0,200701
112.926572,24.747347,355.75,0,200701
112.939409,24.747347,361.25,0,200701
112.952246,24.747347,354.5,0,200701
112.965083,24.747347,342.75,0,200701
112.97792,24.747347,332.25,0,200701
112.84955,24.755817,322.0,0,200701
112.862387,24.755817,325.25,0,200701
112.875224,24.755817,328.5,0,200701
112.888061,24.755817,337.5,0,200701
112.900898,24.755817,346.75,0,200701
112.913735,24.755817,355.5,0,200701
112.926572,24.755817,360.75,0,200701
112.939409,24.755817,365.75,0,200701
112.952246,24.755817,355.25,0,200701
112.965083,24.755817,349.0,0,200701
112.97792,24.755817,336.75,0,200701
112.84955,24.764287,319.0,0,200701
112.862387,24.764287,320.25,0,200701
112.875224,24.764287,325.5,0,200701
112.888061,24.764287,332.5,0,200701
112.900898,24.764287,341.75,0,200701
112.913735,24.764287,350.5,0,200701
112.926572,24.764287,359.75,0,200701
112.939409,24.764287,368.5,0,200701
112.952246,24.764287,367.5,0,200701
112.965083,24.764287,359.25,0,200701
112.97792,24.764287,343.0,0,200701
112.836713,24.772757,320.0,0,200701
112.84955,24.772757,321.5,0,200701
112.862387,24.772757,326.75,0,200701
112.875224,24.772757,334.0,0,200701
112.888061,24.772757,333.5,0,200701
112.900898,24.772757,338.5,0,200701
112.913735,24.772757,347.5,0,200701
112.926572,24.772757,356.75,0,200701
112.939409,24.772757,367.5,0,200701
112.952246,24.772757,374.25,0,200701
112.965083,24.772757,358.5,0,200701
112.97792,24.772757,345.75,0,200701
112.836713,24.781227,320.75,0,200701
112.84955,24.781227,320.25,0,200701
112.862387,24.781227,329.5,0,200701
112.875224,24.781227,346.25,0,200701
112.888061,24.781227,346.0,0,200701
112.900898,24.781227,345.25,0,200701
112.913735,24.781227,350.5,0,200701
112.926572,24.781227,357.5,0,200701
112.939409,24.781227,364.5,0,200701
112.952246,24.781227,373.75,0,200701
112.965083,24.781227,362.75,0,200701
112.97792,24.781227,345.0,0,200701
112.84955,24.789697,324.75,0,200701
112.862387,24.789697,332.0,0,200701
112.875224,24.789697,345.25,0,200701
112.888061,24.789697,348.75,0,200701
112.900898,24.789697,350.0,0,200701
112.913735,24.789697,357.25,0,200701
112.926572,24.789697,368.0,0,200701
112.939409,24.789697,371.25,0,200701
112.952246,24.789697,372.5,0,200701
112.965083,24.789697,366.25,0,200701
112.97792,24.789697,349.75,0,200701
112.84955,24.798167,327.0,0,200701
112.862387,24.798167,330.5,0,200701
112.875224,24.798167,330.5,0,200701
112.888061,24.798167,335.75,0,200701
112.900898,24.798167,348.75,0,200701
112.913735,24.798167,356.0,0,200701
112.926572,24.798167,364.75,0,200701
112.939409,24.798167,370.0,0,200701
112.952246,24.798167,379.25,0,200701
112.965083,24.798167,371.0,0,200701
112.97792,24.798167,362.75,0,200701
112.875224,24.806637,317.5,0,200701
112.888061,24.806637,322.75,0,200701
112.900898,24.806637,338.0,0,200701
112.913735,24.806637,351.0,0,200701
112.926572,24.806637,362.0,0,200701
112.939409,24.806637,367.25,0,200701
112.952246,24.806637,380.25,0,200701
112.965083,24.806637,375.5,0,200701
112.97792,24.806637,365.0,0,200701
112.875224,24.815107,314.0,0,200701
112.888061,24.815107,319.5,0,200701
112.900898,24.815107,338.75,0,200701
112.913735,24.815107,355.5,0,200701
112.926572,24.815107,364.75,0,200701
112.939409,24.815107,370.0,0,200701
112.952246,24.815107,383.25,0,200701
112.965083,24.815107,368.75,0,200701
112.875224,24.823577,316.5,0,200701
112.888061,24.823577,322.25,0,200701
112.900898,24.823577,343.5,0,200701
112.913735,24.823577,358.25,0,200701
112.926572,24.823577,371.0,0,200701
112.939409,24.823577,378.5,0,200701
112.952246,24.823577,383.25,0,200701
112.965083,24.823577,368.75,0,200701
112.888061,24.832047,321.0,0,200701
112.900898,24.832047,345.75,0,200701
112.913735,24.832047,355.0,0,200701
112.888061,24.840517,317.5,0,200701
112.888061,24.848987,317.5,0,200701
112.952246,24.688057,797.75,1,200702
112.965083,24.688057,790.5,1,200702
112.97792,24.688057,787.75,1,200702
112.862387,24.696527,760.0,1,200702
112.888061,24.696527,803.0,1,200702
112.939409,24.696527,804.75,1,200702
112.952246,24.696527,802.25,1,200702
112.965083,24.696527,794.25,1,200702
112.97792,24.696527,787.75,1,200702
112.990757,24.696527,790.5,1,200702
113.003594,24.696527,793.5,1,200702
113.016431,24.696527,795.25,1,200702
112.84955,24.704997,750.0,1,200702
112.862387,24.704997,758.0,1,200702
112.875224,24.704997,780.5,1,200702
112.888061,24.704997,797.25,1,200702
112.900898,24.704997,817.5,1,200702
112.913735,24.704997,815.5,1,200702
112.926572,24.704997,807.0,1,200702
112.939409,24.704997,808.0,1,200702
112.952246,24.704997,803.75,1,200702
112.965083,24.704997,797.25,1,200702
112.97792,24.704997,795.0,1,200702
112.990757,24.704997,794.0,1,200702
113.003594,24.704997,793.5,1,200702
113.016431,24.704997,795.25,1,200702
112.84955,24.713467,757.0,1,200702
112.862387,24.713467,772.0,1,200702
112.875224,24.713467,799.25,1,200702
112.888061,24.713467,807.5,1,200702
112.900898,24.713467,818.5,1,200702
112.913735,24.713467,816.5,1,200702
112.926572,24.713467,810.0,1,200702
112.939409,24.713467,811.25,1,200702
112.952246,24.713467,804.75,1,200702
112.965083,24.713467,798.25,1,200702
112.97792,24.713467,796.25,1,200702
112.990757,24.713467,795.5,1,200702
113.003594,24.713467,794.75,1,200702
112.84955,24.721937,770.0,1,200702
112.862387,24.721937,782.25,1,200702
112.875224,24.721937,805.75,1,200702
112.888061,24.721937,814.25,1,200702
112.900898,24.721937,817.5,1,200702
112.913735,24.721937,815.5,1,200702
112.926572,24.721937,816.75,1,200702
112.939409,24.721937,820.25,1,200702
112.952246,24.721937,810.0,1,200702
112.965083,24.721937,803.25,1,200702
112.97792,24.721937,797.5,1,200702
112.990757,24.721937,802.5,1,200702
113.003594,24.721937,798.25,1,200702
112.862387,24.730407,783.0,1,200702
112.875224,24.730407,802.5,1,200702
112.888061,24.730407,805.5,1,200702
112.900898,24.730407,810.75,1,200702
112.913735,24.730407,808.5,1,200702
112.926572,24.730407,819.75,1,200702
112.939409,24.730407,817.25,1,200702
112.952246,24.730407,813.25,1,200702
112.965083,24.730407,806.5,1,200702
112.97792,24.730407,802.5,1,200702
112.990757,24.730407,801.5,1,200702
113.003594,24.730407,801.5,1,200702
112.84955,24.738877,761.0,1,200702
112.862387,24.738877,773.75,1,200702
112.875224,24.738877,789.75,1,200702
112.888061,24.738877,792.5,1,200702
112.900898,24.738877,793.25,1,200702
112.913735,24.738877,799.5,1,200702
112.926572,24.738877,817.0,1,200702
112.939409,24.738877,820.25,1,200702
112.952246,24.738877,816.5,1,200702
112.965083,24.738877,811.5,1,200702
112.97792,24.738877,803.5,1,200702
112.990757,24.738877,800.75,1,200702
113.003594,24.738877,801.75,1,200702
112.84955,24.747347,744.75,1,200702
112.862387,24.747347,754.5,1,200702
112.875224,24.747347,766.75,1,200702
112.888061,24.747347,779.25,1,200702
112.900898,24.747347,789.75,1,200702
112.913735,24.747347,802.25,1,200702
112.926572,24.747347,818.0,1,200702
112.939409,24.747347,825.25,1,200702
112.952246,24.747347,823.5,1,200702
112.965083,24.747347,814.75,1,200702
112.97792,24.747347,804.5,1,200702
112.84955,24.755817,721.0,1,200702
112.862387,24.755817,729.25,1,200702
112.875224,24.755817,749.25,1,200702
112.888061,24.755817,773.5,1,200702
