longitude,latitude,tmp,时间步长,年份,NAVI,region_id
112.952246,24.688057,5.4750000000000005,0,200301,0.78239995,1
112.965083,24.688057,5.9,0,200301,0.77709997,2
112.97792,24.688057,6.325,0,200301,0.6939,3
112.862387,24.696527,6.5,0,200301,0.7082,4
112.888061,24.696527,4.175,0,200301,0.8143,5
112.939409,24.696527,4.775,0,200301,0.7712,6
112.952246,24.696527,5.2250000000000005,0,200301,0.768,7
112.965083,24.696527,5.875,0,200301,0.7608,8
112.97792,24.696527,6.325,0,200301,0.75259995,9
112.990757,24.696527,6.375,0,200301,0.76339996,10
113.003594,24.696527,6.35,0,200301,0.6798,11
113.016431,24.696527,6.325,0,200301,0.645,12
112.84955,24.704997,6.775,0,200301,0.71919996,13
112.862387,24.704997,6.575,0,200301,0.71919996,14
112.875224,24.704997,5.425,0,200301,0.78139997,15
112.888061,24.704997,4.525,0,200301,0.81,16
112.900898,24.704997,3.1,0,200301,0.8551,17
112.913735,24.704997,3.625,0,200301,0.8434,18
112.926572,24.704997,4.299999999999999,0,200301,0.7956,19
112.939409,24.704997,4.65,0,200301,0.78749996,20
112.952246,24.704997,5.15,0,200301,0.78599995,21
112.965083,24.704997,5.675,0,200301,0.78319997,22
112.97792,24.704997,6.125,0,200301,0.7696,23
112.990757,24.704997,6.25,0,200301,0.7768,24
113.003594,24.704997,6.35,0,200301,0.6554,25
113.016431,24.704997,6.324999999999999,0,200301,0.631,26
112.84955,24.713467,6.475,0,200301,0.7132,27
112.862387,24.713467,5.85,0,200301,0.6227,28
112.875224,24.713467,4.324999999999999,0,200301,0.6374,29
112.888061,24.713467,3.775,0,200301,0.6746,30
112.900898,24.713467,3.15,0,200301,0.807,31
112.913735,24.713467,3.675,0,200301,0.7718,32
112.926572,24.713467,4.199999999999999,0,200301,0.7772,33
112.939409,24.713467,4.574999999999999,0,200301,0.7891,34
112.952246,24.713467,5.075,0,200301,0.743,35
112.965083,24.713467,5.65,0,200301,0.7752,36
112.97792,24.713467,5.95,0,200301,0.7671,37
112.990757,24.713467,6.05,0,200301,0.76299995,38
113.003594,24.713467,6.175,0,200301,0.64199996,39
112.84955,24.721937,5.95,0,200301,0.7044,40
112.862387,24.721937,5.324999999999999,0,200301,0.7524,41
112.875224,24.721937,3.975,0,200301,0.645,42
112.888061,24.721937,3.35,0,200301,0.7725,43
112.900898,24.721937,3.275,0,200301,0.7694,44
112.913735,24.721937,3.75,0,200301,0.73759997,45
112.926572,24.721937,4.0,0,200301,0.7352,46
112.939409,24.721937,4.25,0,200301,0.7542,47
112.952246,24.721937,4.9,0,200301,0.7578,48
112.965083,24.721937,5.35,0,200301,0.78389996,49
112.97792,24.721937,5.800000000000001,0,200301,0.75879997,50
112.990757,24.721937,5.875000000000001,0,200301,0.75879997,51
113.003594,24.721937,6.050000000000001,0,200301,0.6954,52
112.862387,24.730407,5.35,0,200301,0.76739997,53
112.875224,24.730407,4.175,0,200301,0.70449996,54
112.888061,24.730407,3.825,0,200301,0.8152,55
112.900898,24.730407,3.675,0,200301,0.81219995,56
112.913735,24.730407,4.125,0,200301,0.81219995,57
112.926572,24.730407,3.875,0,200301,0.7812,58
112.939409,24.730407,4.325,0,200301,0.7418,59
112.952246,24.730407,4.824999999999999,0,200301,0.7427,60
112.965083,24.730407,5.375,0,200301,0.7698,61
112.97792,24.730407,5.65,0,200301,0.7456,62
112.990757,24.730407,5.874999999999999,0,200301,0.7445,63
113.003594,24.730407,6.074999999999999,0,200301,0.5822,64
112.84955,24.738877,6.25,0,200301,0.72959995,65
112.862387,24.738877,5.699999999999999,0,200301,0.7643,66
112.875224,24.738877,4.875,0,200301,0.76339996,67
112.888061,24.738877,4.674999999999999,0,200301,0.7833,68
112.900898,24.738877,4.775,0,200301,0.7665,69
112.913735,24.738877,4.6,0,200301,0.7339,70
112.926572,24.738877,4.1,0,200301,0.777,71
112.939409,24.738877,4.15,0,200301,0.7007,72
112.952246,24.738877,4.75,0,200301,0.7409,73
112.965083,24.738877,5.3500000000000005,0,200301,0.77889997,74
112.97792,24.738877,5.775,0,200301,0.72639996,75
112.990757,24.738877,5.975,0,200301,0.71669996,76
113.003594,24.738877,6.074999999999999,0,200301,0.5469,77
112.84955,24.747347,6.675000000000001,0,200301,0.7014,78
112.862387,24.747347,6.199999999999999,0,200301,0.7664,79
112.875224,24.747347,5.825,0,200301,0.77019995,80
112.888061,24.747347,5.425000000000001,0,200301,0.773,81
112.900898,24.747347,5.175,0,200301,0.7098,82
112.913735,24.747347,4.675000000000001,0,200301,0.7011,83
112.926572,24.747347,4.25,0,200301,0.6541,84
112.939409,24.747347,4.074999999999999,0,200301,0.6924,85
112.952246,24.747347,4.625,0,200301,0.7263,86
112.965083,24.747347,5.300000000000001,0,200301,0.7733,87
112.97792,24.747347,5.8500000000000005,0,200301,0.7716,88
112.84955,24.755817,7.274999999999999,0,200301,0.73679996,89
112.862387,24.755817,6.9,0,200301,0.7445,90
112.875224,24.755817,6.475,0,200301,0.7403,91
112.888061,24.755817,5.825000000000001,0,200301,0.74539995,92
112.900898,24.755817,5.175000000000001,0,200301,0.68729997,93
112.913735,24.755817,4.575,0,200301,0.68549997,94
112.926572,24.755817,4.025,0,200301,0.64599997,95
112.939409,24.755817,3.825,0,200301,0.6987,96
112.952246,24.755817,4.574999999999999,0,200301,0.76339996,97
112.965083,24.755817,5.074999999999999,0,200301,0.76339996,98
112.97792,24.755817,5.7,0,200301,0.7407,99
112.84955,24.764287,7.574999999999999,0,200301,0.6308,100
112.862387,24.764287,7.15,0,200301,0.7069,101
112.875224,24.764287,6.625,0,200301,0.75769997,102
112.888061,24.764287,6.125,0,200301,0.75769997,103
112.900898,24.764287,5.5,0,200301,0.7438,104
