longitude,latitude,region_id,tmp,ndvi,年份,year,month
112.952246,24.688057,1,5.9750000000000005,0.76129997,201401,2014,1
112.965083,24.688057,2,6.4,0.74729997,201401,2014,1
112.97792,24.688057,3,6.825,0.6877,201401,2014,1
112.862387,24.696527,4,6.9,0.75369996,201401,2014,1
112.888061,24.696527,5,4.575,0.81,201401,2014,1
112.939409,24.696527,6,5.25,0.8315,201401,2014,1
112.952246,24.696527,7,5.7,0.80039996,201401,2014,1
112.965083,24.696527,8,6.375,0.7527,201401,2014,1
112.97792,24.696527,9,6.825,0.7061,201401,2014,1
112.990757,24.696527,10,6.875,0.7299,201401,2014,1
113.003594,24.696527,11,6.85,0.65099996,201401,2014,1
113.016431,24.696527,12,6.825,0.599,201401,2014,1
112.84955,24.704997,13,7.175000000000001,0.73399997,201401,2014,1
112.862387,24.704997,14,6.975,0.73399997,201401,2014,1
112.875224,24.704997,15,5.825,0.765,201401,2014,1
112.888061,24.704997,16,4.925,0.7942,201401,2014,1
112.900898,24.704997,17,3.5,0.8294,201401,2014,1
112.913735,24.704997,18,4.05,0.8487,201401,2014,1
112.926572,24.704997,19,4.75,0.8393,201401,2014,1
112.939409,24.704997,20,5.075,0.78849995,201401,2014,1
112.952246,24.704997,21,5.625,0.79789996,201401,2014,1
112.965083,24.704997,22,6.175,0.7592,201401,2014,1
112.97792,24.704997,23,6.625,0.7055,201401,2014,1
112.990757,24.704997,24,6.75,0.61689997,201401,2014,1
113.003594,24.704997,25,6.85,0.6658,201401,2014,1
113.016431,24.704997,26,6.824999999999999,0.63019997,201401,2014,1
112.84955,24.713467,27,6.875,0.73789996,201401,2014,1
112.862387,24.713467,28,6.25,0.6938,201401,2014,1
112.875224,24.713467,29,4.725,0.6739,201401,2014,1
112.888061,24.713467,30,4.175,0.7194,201401,2014,1
112.900898,24.713467,31,3.5500000000000003,0.803,201401,2014,1
112.913735,24.713467,32,4.075,0.77599996,201401,2014,1
112.926572,24.713467,33,4.6,0.8268,201401,2014,1
112.939409,24.713467,34,4.9750000000000005,0.80189997,201401,2014,1
112.952246,24.713467,35,5.5,0.7126,201401,2014,1
112.965083,24.713467,36,6.075,0.44959998,201401,2014,1
112.97792,24.713467,37,6.4,0.5731,201401,2014,1
112.990757,24.713467,38,6.475,0.5974,201401,2014,1
113.003594,24.713467,39,6.625,0.6342,201401,2014,1
112.84955,24.721937,40,6.35,0.7406,201401,2014,1
112.862387,24.721937,41,5.725,0.74549997,201401,2014,1
112.875224,24.721937,42,4.375,0.64239997,201401,2014,1
112.888061,24.721937,43,3.75,0.75659996,201401,2014,1
112.900898,24.721937,44,3.675,0.7527,201401,2014,1
112.913735,24.721937,45,4.15,0.74509996,201401,2014,1
112.926572,24.721937,46,4.4,0.73609996,201401,2014,1
112.939409,24.721937,47,4.65,0.7568,201401,2014,1
112.952246,24.721937,48,5.3,0.784,201401,2014,1
112.965083,24.721937,49,5.750000000000001,0.7632,201401,2014,1
112.97792,24.721937,50,6.2,0.6994,201401,2014,1
112.990757,24.721937,51,6.275,0.6994,201401,2014,1
113.003594,24.721937,52,6.45,0.6677,201401,2014,1
112.862387,24.730407,53,5.75,0.73969996,201401,2014,1
112.875224,24.730407,54,4.574999999999999,0.69189996,201401,2014,1
112.888061,24.730407,55,4.225,0.7949,201401,2014,1
112.900898,24.730407,56,4.075,0.7285,201401,2014,1
112.913735,24.730407,57,4.525,0.7285,201401,2014,1
112.926572,24.730407,58,4.275,0.7518,201401,2014,1
112.939409,24.730407,59,4.7250000000000005,0.754,201401,2014,1
112.952246,24.730407,60,5.225,0.782,201401,2014,1
112.965083,24.730407,61,5.775,0.761,201401,2014,1
112.97792,24.730407,62,6.050000000000001,0.7188,201401,2014,1
112.990757,24.730407,63,6.275,0.6942,201401,2014,1
113.003594,24.730407,64,6.4750000000000005,0.59569997,201401,2014,1
112.84955,24.738877,65,6.65,0.6929,201401,2014,1
112.862387,24.738877,66,6.1,0.7535,201401,2014,1
112.875224,24.738877,67,5.275,0.7804,201401,2014,1
112.888061,24.738877,68,5.074999999999999,0.74619997,201401,2014,1
112.900898,24.738877,69,5.175000000000001,0.6992,201401,2014,1
112.913735,24.738877,70,5.0,0.71459997,201401,2014,1
112.926572,24.738877,71,4.5,0.73539996,201401,2014,1
112.939409,24.738877,72,4.55,0.7399,201401,2014,1
112.952246,24.738877,73,5.15,0.7883,201401,2014,1
112.965083,24.738877,74,5.75,0.7827,201401,2014,1
112.97792,24.738877,75,6.175000000000001,0.666,201401,2014,1
112.990757,24.738877,76,6.375,0.7193,201401,2014,1
113.003594,24.738877,77,6.475,0.5257,201401,2014,1
112.84955,24.747347,78,7.074999999999999,0.7364,201401,2014,1
112.862387,24.747347,79,6.6,0.7563,201401,2014,1
112.875224,24.747347,80,6.225,0.7581,201401,2014,1
112.888061,24.747347,81,5.825,0.766,201401,2014,1
112.900898,24.747347,82,5.575000000000001,0.7705,201401,2014,1
112.913735,24.747347,83,5.074999999999999,0.7015,201401,2014,1
112.926572,24.747347,84,4.65,0.71279997,201401,2014,1
112.939409,24.747347,85,4.475,0.71029997,201401,2014,1
112.952246,24.747347,86,5.025,0.75689995,201401,2014,1
112.965083,24.747347,87,5.7,0.7509,201401,2014,1
112.97792,24.747347,88,6.249999999999999,0.74939996,201401,2014,1
112.84955,24.755817,89,7.7,0.74899995,201401,2014,1
112.862387,24.755817,90,7.325,0.755,201401,2014,1
112.875224,24.755817,91,6.9,0.7563,201401,2014,1
112.888061,24.755817,92,6.25,0.7668,201401,2014,1
112.900898,24.755817,93,5.6,0.7413,201401,2014,1
112.913735,24.755817,94,5.0,0.7177,201401,2014,1
112.926572,24.755817,95,4.45,0.7201,201401,2014,1
112.939409,24.755817,96,4.25,0.7291,201401,2014,1
112.952246,24.755817,97,4.975,0.761,201401,2014,1
112.965083,24.755817,98,5.475,0.761,201401,2014,1
112.97792,24.755817,99,6.1,0.7255,201401,2014,1
112.84955,24.764287,100,8.05,0.6195,201401,2014,1
